STOP_ID,STOP_NAME,TIMEPOINT_NAME,LONG,LAT,HEADING
10,BEVIS HALL,BEVIS,-83.03799167,40.00231333,270
13,CARMACK 1,CRMCK1,-83.03701836,40.0008854,180
14,BLANKENSHIP HALL,,-83.0333371,40.00318163,90
15,AG RESEARCH CENTER,,-83.0427334,39.99861259,180
18,KINNEAR ROAD LOT,KINEAR,-83.03839546,39.99755448,90
20,MID WEST CAMPUS (EB),AGEB,-83.02654072,40.00425107,90
21,ST. JOHN EAST BOUND,,-83.02074406,40.00404785,90
22,DRAKE UNION,DRAKE,-83.02235078,39.99980939,180
23,TOWERS,TOWER,-83.02226949,39.99942569,360
24,ST. JOHN ARENA (WB),,-83.0207576,40.0043003,270
25,MID WEST CAMPUS (WB),AGWB,-83.02641657,40.00457916,270
27,Outbound to Carmack,OUTBMC86,-83.02165157,39.99763615,270
37,DOAN HALL,DOAN,-83.01745744,39.99614737,90
41,MACK HALL,MACK,-83.01461958,39.99592366,360
43,OHIO UNION (NB),OUNB,-83.00956432,39.99785828,360
44,OHIO UNION (SB),OUSB,-83.00983103,39.99780974,180
55,BLACKBURN HOUSE,,-83.01246099,40.00400435,270
56,MASON HALL,,-83.01556777,40.00412195,270
57,KNOWLTON HALL,KNWTN,-83.01614191,40.00397943,90
58,FONTANA LAB,,-83.01319677,40.00383937,90
59,STILLMAN HALL,STLMN,-83.01066042,40.00170599,180
62,ARPS HALL,ARPS,-83.01053106,40.00247752,360
75,BUCKEYE LOT LOOP,BLOOP,-83.03064609,40.01593277,180
94,CARMACK 5 + STOP 1,,-83.04245428,40.00278085,360
95,CARMACK 5 + STOP 2,CMCK5(2),-83.0411038,40.00289796,180
110,HIGH + 11TH (EB),,-83.005885,39.99464334,90
111,11TH + INDIANOLA (EB),,-83.00264771,39.99452629,90
114,4TH + 15TH,15TH4,-82.99867013,39.99947742,360
120,SUMMIT + MAYNARD,MYNRD,-83.00044721,40.01095072,180
128,11TH + INDIANOLA (WB),,-83.00312559,39.9946539,270
129,HIGH + 11TH (WB),,-83.00640833,39.99478334,270
132,4TH & 18TH,,-82.99848411,40.0021712,360
133,4TH & LANE (NORTH OF LANE),,-82.99829803,40.00537833,360
134,4TH & ALDEN AVE,ALDEN4,-82.99806553,40.00825587,360
135,4TH & MAYNARD (NORTH OF MAYNARD),,-82.9978476,40.01136074,360
136,SUMMIT & TOMPKINS,,-83.00026613,40.0139982,180
137,SUMMIT & ALDEN,,-83.00063394,40.00812058,180
138,SUMMIT & IUKA,,-83.00087598,40.00532476,180
139,SUMMIT & 18TH AVE,18SUM,-83.00108396,40.00242245,180
140,SUMMIT & 15TH (SOUTH SIDE OF 15TH),,-83.00127859,39.99952617,180
142,4th & 11th,,-82.99896268,39.99482231,360
148,SUMMIT + CHITTENDEN (SOUTH SIDE OF CHITT),,-83.00151086,39.9952943,180
271,SCHOTTENSTEIN CENTER,SCHOTT,-83.02384662,40.00833334,90
272,BUCKEYE LOT LOOP (SS),BLPSS,-83.0304063,40.01623499,180
401,UNIVERSITY HOSPITAL,MEDTWR,-83.02048548,39.99592585,90
403,CARMACK 2,CMCK2,-83.03718015,40.00104563,180
404,CARMACK 3,CMCK3,-83.04017696,40.00087771,360
405,JOHN HERRICK LOOP,THUB,-83.01811934,39.99756885,360
410,SIEBERT HALL,,-83.01207152,39.99550687,270
426,FRED TAYLOR & SCHOTTENSTEIN DR,,-83.02856312,40.01301304,360
461,IN BOUND,INBMC86,-83.04049753,40.00231485,90
502,(FS) PS (IN),,-83.03489494,40.00324641,90
504,(FS) PS (OB),,-83.02985393,40.00427337,270
505,STOP2,STOP2,-83.03547231,40.01369826,360
506,STOP3,,-83.03660937,40.01346911,360
507,STOP4,,-83.03634784,40.01186657,360
508,STOP5,STOP5,-83.03548887,40.01192864,360
509,STOP1,STOP1,-83.03516572,40.012926,360
512,COFFEY ROAD FIELD,COFFEY,-83.02587236,40.0040572,260
605,HIGH AND 15TH,HIGH15,-83.00812826,40.00020728,180
606,11TH & WORTHINGTON,,-83.01226696,39.99542728,90
